  , 	  , 	T1, 	T2, 	T3, 	T4, 	T5, 	T6, 	T7, 	T8, 	T9, 	T10, 	T11, 	T12, 	T13, 	T14, 	T15, 	T16, 	T17, 	T18, 	T19,  	T20,  	T21,  	T22,  	T23,  	T24  
K1, 	S56, 	0.000,	0.001,	0.033,	0.000,	0.057,	0.000,	0.000,	0.001,	0.091,	0.432,	0.641,	0.723,	0.931,	0.960,	0.880,	0.859,	0.551,	0.344,	0.346,	0.444,	0.001,	0.003,	0.083,	0.238, 
K1, 	S57, 	0.000,	0.000,	0.295,	0.068,	0.211,	0.273,	0.000,	0.053,	0.279,	0.233,	0.735,	0.952,	0.914,	0.830,	0.960,	0.667,	0.645,	0.567,	0.419,	0.000,	0.147,	0.069,	0.170,	0.165, 
K1, 	S58, 	0.000,	0.005,	0.000,	0.378,	0.105,	0.000,	0.000,	0.460,	0.000,	0.373,	1.009,	0.853,	0.871,	0.971,	0.856,	0.815,	0.823,	0.717,	0.580,	0.287,	0.193,	0.226,	0.114,	0.174, 
K1, 	S59, 	0.016,	0.000,	0.000,	0.184,	0.006,	0.000,	0.231,	0.000,	0.243,	0.488,	0.705,	0.707,	0.819,	0.890,	0.843,	0.617,	0.506,	0.612,	0.371,	0.234,	0.211,	0.135,	0.102,	0.174, 
K1, 	S60, 	0.029,	0.446,	0.000,	0.067,	0.618,	0.000,	0.231,	0.000,	0.145,	0.138,	0.762,	0.959,	0.757,	0.882,	0.783,	0.786,	0.830,	0.355,	0.347,	0.067,	0.355,	0.136,	0.227,	0.288, 
K1, 	S61, 	0.000,	0.168,	0.000,	0.000,	0.042,	0.054,	0.027,	0.058,	0.134,	0.139,	0.638,	0.920,	0.918,	1.031,	0.319,	0.960,	0.649,	0.715,	0.381,	0.295,	0.291,	0.261,	0.228,	0.233, 
K1, 	S62, 	0.000,	0.480,	0.006,	0.060,	0.000,	0.000,	0.000,	0.047,	0.218,	0.141,	0.632,	0.965,	0.796,	0.960,	0.743,	0.837,	0.840,	0.597,	0.449,	0.283,	0.280,	0.136,	0.245,	0.024, 
K1, 	S63, 	0.007,	0.421,	0.028,	0.195,	0.000,	0.000,	0.032,	0.417,	0.249,	0.487,	0.640,	0.709,	0.906,	0.960,	0.835,	0.652,	0.571,	0.460,	0.488,	0.423,	0.239,	0.002,	0.000,	0.000, 
K1, 	S64, 	0.114,	0.029,	0.000,	0.022,	0.177,	0.280,	0.560,	0.492,	0.000,	0.385,	0.754,	0.709,	0.961,	0.888,	0.341,	0.811,	0.572,	0.624,	0.375,	0.270,	0.396,	0.215,	0.140,	0.000, 
K1, 	S65, 	0.377,	0.000,	0.025,	0.363,	0.062,	0.022,	0.329,	0.000,	0.256,	0.221,	0.564,	0.880,	0.461,	0.749,	0.844,	0.665,	0.924,	0.693,	0.364,	0.309,	0.142,	0.181,	0.222,	0.272, 
K1, 	S66, 	0.192,	0.000,	0.000,	0.000,	0.189,	0.000,	0.000,	0.000,	0.000,	0.514,	0.452,	0.951,	1.009,	0.805,	0.836,	1.025,	0.787,	0.890,	0.556,	0.292,	0.211,	0.106,	0.000,	0.032, 
K1, 	S67, 	0.000,	0.001,	0.000,	0.001,	0.055,	0.000,	0.031,	0.117,	0.000,	0.340,	0.710,	0.959,	0.748,	0.992,	0.819,	0.532,	0.658,	0.580,	0.510,	0.443,	0.079,	0.054,	0.263,	0.244, 
K1, 	S68, 	0.175,	0.178,	0.000,	0.052,	0.686,	0.000,	0.000,	0.001,	0.032,	0.145,	0.638,	0.838,	0.966,	0.350,	0.835,	0.671,	0.562,	0.540,	0.429,	0.361,	0.188,	0.050,	0.171,	0.177, 
K1, 	S69, 	0.000,	0.340,	0.000,	0.000,	0.000,	0.160,	0.133,	0.491,	0.222,	0.171,	0.747,	0.816,	0.977,	0.725,	0.800,	0.878,	0.825,	0.519,	0.693,	0.266,	0.295,	0.114,	0.091,	0.000, 
K1, 	S70, 	0.000,	0.000,	0.440,	0.112,	0.000,	0.000,	0.192,	0.464,	0.000,	0.145,	0.739,	0.951,	0.513,	0.798,	0.799,	0.619,	0.788,	0.358,	0.458,	0.297,	0.001,	0.031,	0.241,	0.278, 
K1, 	S71, 	0.000,	0.000,	0.440,	0.052,	0.036,	0.012,	0.231,	0.117,	0.181,	0.483,	0.820,	1.021,	0.870,	0.850,	0.800,	0.751,	0.500,	0.696,	0.477,	0.477,	0.221,	0.052,	0.193,	0.181, 
K1, 	S72, 	0.000,	0.000,	0.288,	0.053,	0.056,	0.272,	0.000,	0.118,	0.191,	0.205,	0.833,	0.960,	1.080,	0.363,	0.933,	0.842,	0.596,	0.338,	0.425,	0.246,	0.034,	0.000,	0.171,	0.272, 
K1, 	S73, 	0.000,	0.000,	0.224,	0.187,	0.461,	0.000,	0.143,	0.010,	0.148,	0.152,	0.552,	0.847,	0.819,	0.894,	0.779,	0.929,	0.945,	0.567,	0.538,	0.349,	0.310,	0.051,	0.083,	0.174, 
K1, 	S74, 	0.000,	0.176,	0.000,	0.202,	0.063,	0.258,	0.000,	0.118,	0.202,	0.238,	0.493,	0.740,	0.919,	0.939,	0.281,	0.614,	0.695,	0.565,	0.351,	0.151,	0.000,	0.044,	0.000,	0.158, 
K1, 	S75, 	0.000,	0.003,	0.000,	0.187,	0.034,	0.264,	0.000,	0.259,	0.000,	0.172,	0.753,	0.925,	0.886,	0.561,	0.746,	0.732,	0.508,	0.714,	0.560,	0.194,	0.000,	0.184,	0.030,	0.002, 
K1, 	S76, 	0.008,	0.000,	0.000,	0.000,	0.055,	0.000,	0.217,	0.087,	0.243,	0.486,	0.748,	0.754,	0.964,	0.782,	0.829,	0.692,	0.581,	0.316,	0.633,	0.341,	0.391,	0.346,	0.085,	0.141, 
K1, 	S77, 	0.000,	0.442,	0.129,	0.038,	0.136,	0.000,	0.086,	0.487,	0.139,	0.402,	0.557,	0.860,	0.961,	0.407,	0.931,	0.739,	0.619,	0.709,	0.396,	0.315,	0.170,	0.230,	0.195,	0.148, 
K1, 	S78, 	0.000,	0.067,	0.124,	0.068,	0.000,	0.049,	0.000,	0.118,	0.221,	0.373,	0.837,	0.957,	0.718,	0.961,	0.960,	0.810,	0.797,	0.530,	0.404,	0.369,	0.000,	0.237,	0.215,	0.000, 
K1, 	S79, 	0.184,	0.026,	0.026,	0.000,	0.087,	0.272,	0.174,	0.051,	0.000,	0.388,	0.696,	0.960,	0.784,	0.884,	0.502,	0.676,	0.665,	0.400,	0.326,	0.190,	0.000,	0.186,	0.083,	0.138, 
K1, 	S80, 	0.303,	0.221,	0.000,	0.000,	0.000,	0.119,	0.583,	0.099,	0.129,	0.339,	0.712,	0.937,	0.890,	0.781,	0.876,	0.888,	0.694,	0.568,	0.344,	0.345,	0.186,	0.183,	0.228,	0.154, 
K1, 	S81, 	0.426,	0.371,	0.000,	0.000,	0.041,	0.268,	0.000,	0.229,	0.242,	0.187,	0.728,	0.967,	0.838,	0.528,	0.829,	0.828,	0.654,	0.576,	0.162,	0.248,	0.251,	0.192,	0.223,	0.042, 
K1, 	S82, 	0.073,	0.065,	0.022,	0.054,	0.000,	0.000,	0.000,	0.000,	0.243,	0.415,	0.787,	1.005,	1.069,	0.838,	0.762,	0.694,	0.570,	0.527,	0.384,	0.247,	0.250,	0.035,	0.140,	0.174, 
K1, 	S83, 	0.010,	0.175,	0.287,	0.358,	0.000,	0.134,	0.000,	0.056,	0.107,	0.183,	0.895,	0.286,	0.909,	0.968,	0.801,	0.793,	0.832,	0.378,	0.250,	0.455,	0.366,	0.214,	0.034,	0.000, 
K1, 	S84, 	0.000,	0.000,	0.123,	0.187,	0.065,	0.000,	0.000,	0.504,	0.000,	0.160,	0.651,	0.292,	0.907,	0.869,	0.793,	0.907,	0.661,	0.769,	0.604,	0.448,	0.249,	0.001,	0.232,	0.067, 
K1, 	S85, 	0.000,	0.000,	0.048,	0.000,	0.000,	0.000,	0.000,	0.000,	0.000,	0.161,	0.464,	0.709,	0.728,	0.884,	0.825,	0.909,	0.639,	0.616,	0.431,	0.000,	0.178,	0.185,	0.140,	0.145, 
K1, 	S86, 	0.002,	0.086,	0.198,	0.000,	0.000,	0.000,	0.164,	0.154,	0.160,	0.487,	0.834,	0.283,	0.534,	0.409,	0.832,	0.852,	0.718,	0.481,	0.400,	0.294,	0.365,	0.018,	0.008,	0.061, 
K1, 	S87, 	0.000,	0.346,	0.160,	0.341,	0.000,	0.321,	0.000,	0.118,	0.234,	0.488,	0.559,	0.781,	0.957,	0.850,	0.728,	0.742,	0.694,	0.760,	0.609,	0.180,	0.414,	0.008,	0.172,	0.174, 
K1, 	S88, 	0.000,	0.000,	0.000,	0.381,	0.000,	0.031,	0.046,	0.454,	0.195,	0.141,	0.837,	0.788,	0.820,	0.950,	0.359,	0.671,	0.627,	0.644,	0.184,	0.234,	0.200,	0.053,	0.197,	0.102, 
